URL,Content Size,No of Outgoing Link,Content Type
https://nypost.com/living/,165.0,178,text/html
https://nypost.com/,324.0,248,text/html
https://nypost.com/2018/09/11/the-carolinas-brace-for-hurricane-florence/slide-1/,184.0,153,text/html
https://nypost.com/2018/09/11/ken-starr-proves-the-perils-of-prosecutors-probing-presidents/,288.0,200,text/html
https://nypost.com/2018/09/11/mourners-gather-at-ground-zero-memorial-site-on-9-11-anniversary/,315.0,201,text/html
https://nypost.com/2018/09/11/ex-school-employee-i-lost-my-virginity-to-a-15-year-old-student/,279.0,194,text/html
https://nypost.com/horoscope/virgo-09-11-2018/,148.0,176,text/html
https://nypost.com/2018/09/11/this-ultra-marathoner-breastfed-16-hours-into-107-mile-race/,294.0,203,text/html
https://nypost.com/covers/,138.0,149,text/html
https://nypost.com/metro/,168.0,175,text/html
https://nypost.com/rssfeeds/,123.0,186,text/html
https://nypost.com/customer-service/,120.0,163,text/html
https://nypost.com/2018/09/11/why-medicare-for-all-is-a-rotten-deal-for-most/,286.0,198,text/html
https://nypost.com/2018/09/11/this-map-lets-you-tour-nycs-lost-porn-palaces/,289.0,195,text/html
https://nypost.com/video/male-inmates-are-getting-dolled-up-in-prison-beauty-school/,201.0,148,text/html
https://nypost.com/2018/09/11/british-designer-casts-badass-grannies-for-fashion-week/,297.0,193,text/html
https://nypost.com/2018/09/11/zuckerberg-created-algorithm-to-beat-teen-girl-at-scrabble/,278.0,193,text/html
https://nypost.com/2018/09/11/alex-trebek-debuts-new-look-for-jeopardy-premiere/,284.0,200,text/html
https://nypost.com/home-delivery/,119.0,158,text/html
